timestamp_s,frame,id,shape,color,size,label,area_px,cx,cy,shape_conf,count_total
3.9,117,1,triangle,red,S,red_triangle,1801,641,249,0.849,1
4.3,129,2,square,red,M,red_square,3652,641,379,0.98,2
4.633,139,3,triangle,red,M,red_triangle,3090,642,127,0.89,3
4.967,149,4,square,yellow,M,yellow_square,4321,641,112,0.948,4
5.367,161,5,triangle,yellow,M,yellow_triangle,4346,641,328,0.914,5
5.767,173,6,circle,blue,M,blue_circle,6030,642,102,0.968,6
6.133,184,7,triangle,blue,M,blue_triangle,3256,641,254,0.889,7
6.5,195,8,square,blue,L,blue_square,12750,641,151,0.965,8
6.833,205,9,circle,blue,S,blue_circle,2606,641,275,0.953,9
7.267,218,10,square,magenta,L,magenta_square,9601,642,374,0.969,10
7.6,228,11,circle,yellow,S,yellow_circle,2409,641,250,0.947,11
8.067,242,12,triangle,red,S,red_triangle,2190,641,133,0.841,12
8.467,254,13,circle,green,S,green_circle,2416,642,150,0.949,13
8.967,269,14,circle,blue,M,blue_circle,5006,642,182,0.973,14
9.433,283,15,circle,blue,M,blue_circle,3161,642,136,0.983,15
9.8,294,16,triangle,green,M,green_triangle,4945,641,198,0.915,16
10.333,310,17,circle,yellow,M,yellow_circle,3541,641,211,0.99,17
10.8,324,18,square,red,M,red_square,4407,641,260,0.996,18
11.3,339,19,circle,green,S,green_circle,2426,642,260,0.975,19
11.7,351,21,triangle,magenta,M,magenta_triangle,3438,641,347,0.865,20
12.067,362,20,circle,green,S,green_circle,2776,641,374,0.951,21
12.5,375,22,triangle,magenta,M,magenta_triangle,3961,641,318,0.915,22
12.967,389,23,square,yellow,M,yellow_square,3617,641,351,0.915,23
13.3,399,24,square,red,L,red_square,10552,644,179,0.932,24
13.667,410,25,triangle,yellow,M,yellow_triangle,3038,640,144,0.889,25
14.167,425,26,circle,magenta,M,magenta_circle,6248,642,369,0.962,26
14.6,438,27,triangle,red,M,red_triangle,5795,641,175,0.911,27
15.033,451,28,triangle,red,S,red_triangle,2710,641,261,0.882,28
15.533,466,29,square,red,M,red_square,6136,643,231,0.935,29
15.9,477,30,triangle,red,M,red_triangle,6255,641,269,0.926,30
16.3,489,31,square,green,M,green_square,5486,642,376,0.975,31
16.6,498,34,triangle,magenta,S,magenta_triangle,2668,641,120,0.852,32
16.933,508,33,circle,blue,M,blue_circle,8205,643,226,0.883,33
17.233,517,32,square,yellow,L,yellow_square,11528,641,139,0.97,34
17.567,527,35,triangle,red,M,red_triangle,3511,641,385,0.891,35
17.933,538,36,square,magenta,M,magenta_square,8828,641,184,0.988,36
18.367,551,37,triangle,yellow,M,yellow_triangle,5839,641,333,0.889,37
18.767,563,38,triangle,green,M,green_triangle,5243,641,275,0.894,38
19.267,578,39,triangle,blue,M,blue_triangle,4395,641,338,0.904,39
19.8,594,40,square,green,M,green_square,4463,642,132,0.993,40
